City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,nikolayevsk-on-amure,53.1406,140.73,26.39,59,36,0.78,RU,1689808938
327,afaahiti,-17.75,-149.2833,22.93,94,56,11.17,PF,1689808938
328,santa cruz del sur,20.7147,-77.9956,29.55,77,60,2.48,CU,1689808939
329,touros,-5.1989,-35.4608,24.78,76,4,6.89,BR,1689808939
330,san juan de miraflores,-12.1629,-76.9635,21.29,73,20,3.56,PE,1689808940
331,port saint john's,-31.6229,29.5448,13.37,68,90,5.44,ZA,1689808940
332,birjand,32.8663,59.2211,24.26,25,0,4.12,IR,1689808940
333,ojinaga,29.5667,-104.4167,42.53,17,0,1.54,MX,1689808941
334,belo sur tsiribihina,-19.7,44.55,21.22,73,97,0.33,MG,1689808941
335,ploneour-lanvern,47.9,-4.2833,14.16,88,0,2.06,FR,1689808942
336,aldama,22.9167,-98.0667,34.16,51,81,6.76,MX,1689808942
337,birobidzhan,48.8,132.95,23.99,80,5,0.85,RU,1689808943
338,bala-cynwyd,40.0076,-75.2341,28.04,77,75,0.89,US,1689808943
339,timbuktu,16.7735,-3.0074,36.87,26,23,5.15,ML,1689808943
340,hats'avan,39.4641,45.9705,12.79,88,7,2.21,AM,1689808944
341,gaozhou,21.9392,110.8461,25.99,90,97,1.5,CN,1689808804
342,shache,38.4167,77.2406,25.95,25,99,4.13,CN,1689808945
343,lisakovsk,52.5369,62.4936,15.74,92,1,4.66,KZ,1689808945
344,chibougamau,49.9168,-74.3659,13.79,77,100,2.89,CA,1689808946
345,carnarvon,-24.8667,113.6333,11.59,61,0,8.18,AU,1689808946
346,matane,48.8286,-67.522,19.03,77,16,4.15,CA,1689808768
347,sabha,27.0377,14.4283,29.11,23,0,0.72,LY,1689808947
348,carolina,18.3808,-65.9574,29.94,85,75,8.23,PR,1689808783
349,parras de la fuente,25.4167,-102.1833,31.79,20,34,4.6,MX,1689808948
350,bubaque,11.2833,-15.8333,27.23,82,68,6.48,GW,1689808948
351,jwaneng,-24.6004,24.7303,9.46,32,0,1.78,BW,1689808948
352,sawakin,19.1059,37.3321,33.5,47,56,2.59,SD,1689808949
353,xiongzhou,25.1167,114.3,25.58,95,100,0.9,CN,1689808949
354,longyearbyen,78.2186,15.6401,10.91,62,0,1.03,SJ,1689808950
355,kota kinabalu,5.9749,116.0724,24.99,94,20,2.06,MY,1689808868
356,al ghayzah,16.2079,52.176,25.6,89,45,2.38,YE,1689808950
357,mpanda,-6.3655,31.0409,17.72,48,17,0.87,TZ,1689808952
358,prince rupert,54.3161,-130.3201,17.05,90,100,4.12,CA,1689808952
359,piazza armerina,37.3859,14.3672,29.75,26,1,1.67,IT,1689808953
360,arraias,-12.9288,-46.9437,23.77,25,33,2.77,BR,1689808953
